,periodoA,osf,categoria,p1_a,p1_b,p1_e,p1_g,p1_h,p1_i,p2,p4,p5_a,p5_b,p5_c,p5_e,p6,p6.1,evaluacion,comentarios
3422,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,5,5,5,5,4,4,True,2,5,5,5,5,2,False,4,[]
3423,1,"SAITC, Sociedad de Alumnos de Ingeniería en Tecnologías Computacionales",Sociedad de Alumnos ITESM,4,4,4,4,4,4,True,2,5,5,5,5,2,True,4,[]
3424,1,"SAINA, Sociedad de Alumnos de Ingeniería en Nanotecnología",Sociedad de Alumnos ITESM,4,5,5,4,4,4,True,0,4,5,4,4,0,False,3,"['persona', 'muy', 'se']"
3425,1,Sacbé,ONG - Arte y cultura,5,5,5,5,5,5,False,2,5,5,5,5,0,True,4,['dar']
3426,1,Fundacionplan.org - Plan SPAP A.C.,ONG - Humanitaria,5,4,5,5,4,5,False,0,5,5,4,5,0,False,3,"['super', 'muy', 'eso', 'se']"
3427,1,"SAITC, Sociedad de Alumnos de Ingeniería en Tecnologías Computacionales",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,2,5,5,5,5,0,True,4,['dar']
3428,1,Zihuame Mochilla A.C.,ONG - Humanitaria,5,5,5,5,5,5,True,5,5,5,5,5,0,True,5,"['excelente', 'cuenta']"
3429,1,"Liderazgo y Cultura Emprendedora, A.C.",ONG - Desarrollo humano,4,4,4,4,4,4,True,2,4,4,4,4,2,True,4,[]
3430,1,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.,ONG - Humanitaria,4,5,5,4,4,5,True,0,5,5,5,5,0,False,4,"['parece', 'haciendo', 'seguir', 'se', 'pueden', 'mejorar', 'entiendo', 'completo', 'menos']"
3431,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,True,0,4,4,5,5,2,False,4,[]
3432,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,False,2,3,4,4,5,2,False,4,[]
3433,1,"UNAC, Unidos por el Arte contra el Cáncer Infantil, A.C.",ONG - Humanitaria,5,5,5,5,5,5,True,0,5,5,5,5,2,False,4,[]
3434,1,Proyecto 99,ONG - Humanitaria,3,5,5,5,5,5,False,0,5,5,5,5,0,False,3,"['se', 'pone', 'les', 'haya', 'podido', 'ayudar']"
3435,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,3,4,3,3,3,4,True,0,3,4,4,4,0,False,3,"['les', 'falta', 'no', 'ni', 'siquiera', 'siento', 'muy', 'les', 'falta', 'personas', 'quieren', 'no', 'muy']"
3436,1,"SATEM, Sociedad Astronómica del Tecnológico de Monterrey",Sociedad de Alumnos ITESM,5,5,5,5,5,5,True,2,4,4,4,5,2,True,4,"['muy', 'muy']"
3437,1,"SAITC, Sociedad de Alumnos de Ingeniería en Tecnologías Computacionales",Sociedad de Alumnos ITESM,5,5,3,4,5,5,True,5,5,5,4,5,0,True,4,"['excelente', 'hacerlo', 'distancia', 'necesario', 'tuvo']"
3438,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,5,4,5,False,0,5,5,5,5,2,False,4,[]
3439,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,5,5,5,5,5,5,True,2,5,5,5,5,2,True,5,[]
3440,1,Dirección de Servicio Social - Aprendizajes para todos,Dirección Servicio Social Campus Mty.,4,4,4,5,4,4,True,2,5,5,5,5,5,True,4,['muy']
